"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Seguidores no Instagram",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Término,"Configuração de atribuição","CPM (custo por 1.000 impressões) (BRL)",Frequência,"CTR (taxa de cliques no link)","Cliques no link","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-07-03,2026-07-09,"[FIJI] [ALCANCE] - Branding",inactive,0,0,reach,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] - Engajamento",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] Alcance - Segunda Maluca",inactive,0,0,reach,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] - Visualizações do vídeo Nova Loja",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] - Mensagem - Cartão",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] - Engajamento",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [TRÁFEGO] - Cartão, App e Site",inactive,0,,,,11,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] -  Mensagens - Feed",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [MENSAGEM] [WPP] - Stories",inactive,0,,,,10,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] - Visualizações de vídeo",inactive,0,,,,6,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] - Tráfego vaga",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [MENSAGEM] - SJ Digitais Influencers",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [ALCANCE] - SJ Digitais Influencers",inactive,0,0,reach,,6,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [ENGAJAMENTO] - Lançamento Novo Jingle",inactive,0,,,,6,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [ALCANCE] - Reels e Stories",inactive,0,0,reach,,6,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [ENGAJAMENTO] - Lançamento Novo Jingle",inactive,0,,,,10,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [ENGAJAMENTO/MSG] - Dias Dos Pais",inactive,0,,,,10,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [ENGAJAMENTO/MSG] [WPP] - Feed",inactive,0,,,,10,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [ENGAJAMENTO/MSG] [WPP] - Feed",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [MENSAGEM] - Promoção até dia 20",inactive,0,,,,20,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[MENSAGEM] [REMARKETING] - IG",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[BRANDING] [REMARKETING] - IG",inactive,0,0,reach,,6,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [MENSAGEM] [WPP] - Publico do IG",inactive,0,,,,17,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[FIJI] [VIDEO VIEW]",inactive,0,0,reach,,12,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[ENG] ORGANICOS",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[ALC] VIDEOS MUÇÃO",inactive,0,0,reach,,50,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[ALC] USUARIOS IPHONE",inactive,0,0,reach,,10,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[ALC] OFERTA HEINEKEN - R$ 8.99",inactive,0,0,reach,,35,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"ENG | VIDEOS REELS",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"ENG | VV | REELS",inactive,0,,,,150,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"TRAF | SEGUIDORES",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[ALC] NIVER 37 ANOS - 50/DIA",inactive,0,0,reach,,50,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"001 - ENG | VV | REELS",inactive,0,,,,30,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"002 - ENG | VV | REELS",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"003 - ENG | VV | REELS",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"004 - ENG | VV | REELS",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"005 - ENG | VV | REELS",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"006 - ENG | VV | REELS",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"007 - ENG | VV | REELS",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"008 - ENG | VV | REELS",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"009 - ENG | VV | REELS",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"010 - ENG | VV | REELS",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"011 - ENG | VV | REELS",inactive,0,,,,15,Diário,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
